word,reliable,unreliable,average reliable,avg unrelabie
lo,4,97,-93,0.96039604
mass,482,574,-92,0.543560606
peoples,26,118,-92,0.819444444
classified,241,332,-91,0.579406632
protectors,11,102,-91,0.902654867
o,4,95,-91,0.95959596
polls,321,411,-90,0.56147541
del,35,125,-90,0.78125
como,0,89,-89,1
breaking,309,397,-88,0.562322946
exists,102,190,-88,0.650684932
scandals,67,155,-88,0.698198198
material,296,383,-87,0.564064801
wealth,193,280,-87,0.591966173
democracy,222,308,-86,0.581132075
obviously,193,279,-86,0.591101695
hacked,104,190,-86,0.646258503
outcome,268,353,-85,0.568438003
terrorists,239,324,-85,0.575488455
legitimate,176,261,-85,0.597254005
result,765,849,-84,0.526022305
sick,157,241,-84,0.605527638
lied,68,152,-84,0.690909091
mind,481,564,-83,0.539712919
society,314,397,-83,0.558368495
exist,156,239,-83,0.605063291
monetary,48,131,-83,0.731843575
globalist,42,125,-83,0.748502994
exposing,72,154,-82,0.681415929
coup,124,205,-81,0.623100304
sacred,86,167,-81,0.660079051
originally,254,334,-80,0.568027211
doubt,393,472,-79,0.54566474
deserve,138,217,-79,0.611267606
dump,48,127,-79,0.725714286
content,244,322,-78,0.568904594
collective,150,228,-78,0.603174603
concerning,98,176,-78,0.642335766
merely,267,344,-77,0.563011457
expose,109,186,-77,0.630508475
disturbing,91,168,-77,0.648648649
latter,82,159,-77,0.659751037
proof,187,263,-76,0.584444444
enemies,132,208,-76,0.611764706
occupation,58,134,-76,0.697916667
e,7,83,-76,0.922222222
complete,472,547,-75,0.536800785
class,450,525,-75,0.538461538
refuse,157,232,-75,0.596401028
quite,690,764,-74,0.525447043
troops,285,359,-74,0.557453416
collapse,173,247,-74,0.588095238
alliance,150,224,-74,0.598930481
ancient,138,212,-74,0.605714286
however,116,190,-74,0.620915033
arms,290,363,-73,0.555895865
socialist,57,130,-73,0.695187166
healing,48,121,-73,0.715976331
genocide,25,98,-73,0.796747967
das,0,73,-73,1
electronic,141,213,-72,0.601694915
stolen,123,195,-72,0.613207547
fed,108,180,-72,0.625
und,4,76,-72,0.95
im,3,75,-72,0.961538462
causes,193,264,-71,0.577680525
manipulation,35,106,-71,0.75177305
capitalism,35,106,-71,0.75177305
debt,177,247,-70,0.58254717
surely,124,194,-70,0.610062893
objective,91,161,-70,0.638888889
reopened,44,114,-70,0.721518987
armed,405,474,-69,0.539249147
sin,19,88,-69,0.822429907
powers,223,291,-68,0.56614786
moral,219,287,-68,0.567193676
hidden,157,225,-68,0.589005236
zone,135,203,-68,0.600591716
hell,128,196,-68,0.604938272
missiles,119,187,-68,0.611111111
insider,48,116,-68,0.707317073
der,21,89,-68,0.809090909
le,15,83,-68,0.846938776
mit,1,69,-68,0.985714286
banks,208,275,-67,0.569358178
enemy,162,229,-67,0.585677749
opinion,347,413,-66,0.543421053
desperately,89,155,-66,0.635245902
warfare,63,129,-66,0.671875
above,616,681,-65,0.525057826
conflict,399,464,-65,0.537659328
aircraft,146,211,-65,0.591036415
yesterday,83,148,-65,0.640692641
laptop,68,133,-65,0.661691542
fascist,29,94,-65,0.764227642
purpose,234,298,-64,0.560150376
accurate,108,172,-64,0.614285714
recommend,103,167,-64,0.618518519
spiritual,85,149,-64,0.636752137
fails,67,131,-64,0.661616162
controlled,241,304,-63,0.557798165
plus,154,217,-63,0.58490566
located,134,197,-63,0.595166163
et,32,95,-63,0.748031496
zu,0,63,-63,1
nothing,1226,1288,-62,0.512330947
information,1188,1250,-62,0.51271534
causing,254,316,-62,0.554385965
rhetoric,167,229,-62,0.578282828
topic,158,220,-62,0.582010582
entitled,133,195,-62,0.594512195
minds,116,178,-62,0.605442177
revelation,77,139,-62,0.643518519
super,61,123,-62,0.668478261
des,32,94,-62,0.746031746
possibly,399,460,-61,0.535506403
worse,319,380,-61,0.543633763
cycle,133,194,-61,0.593272171
humans,118,179,-61,0.602693603
forces,721,781,-60,0.519973369
assume,173,233,-60,0.573891626
movements,113,173,-60,0.604895105
threatens,99,159,-60,0.61627907
treaty,63,123,-60,0.661290323
somehow,201,260,-59,0.563991323
ballot,127,186,-59,0.594249201
globalists,11,70,-59,0.864197531
exact,170,228,-58,0.572864322
perfectly,149,207,-58,0.581460674
revelations,120,178,-58,0.597315436
courtesy,39,97,-58,0.713235294
FALSE,352,409,-57,0.537450723
integrity,134,191,-57,0.587692308
skin,110,167,-57,0.602888087
pure,98,155,-57,0.612648221
click,65,122,-57,0.652406417
belief,207,263,-56,0.559574468
thousand,157,213,-56,0.575675676
suffer,157,213,-56,0.575675676
revolution,105,161,-56,0.605263158
ministry,92,148,-56,0.616666667
sovereign,73,129,-56,0.638613861
foods,60,116,-56,0.659090909
necessary,408,463,-55,0.531572905
capable,197,252,-55,0.561247216
brain,186,241,-55,0.56440281
logic,64,119,-55,0.650273224
von,47,102,-55,0.684563758
newsletter,39,94,-55,0.706766917
masters,21,76,-55,0.783505155
den,18,73,-55,0.802197802
vitamin,13,68,-55,0.839506173
example,483,537,-54,0.526470588
thanks,241,295,-54,0.550373134
riot,56,110,-54,0.662650602
oligarchy,1,55,-54,0.982142857
numerous,387,440,-53,0.532043531
approximately,154,207,-53,0.573407202
thoughts,143,196,-53,0.578171091
indicates,101,154,-53,0.603921569
method,100,153,-53,0.604743083
bankers,58,111,-53,0.656804734
advisor,45,98,-53,0.685314685
civilization,37,90,-53,0.708661417
media,1997,2049,-52,0.5064261
amounts,202,254,-52,0.557017544
fail,140,192,-52,0.578313253
inform,94,146,-52,0.608333333
reply,69,121,-52,0.636842105
indigenous,47,99,-52,0.678082192
parliament,27,79,-52,0.745283019
unless,348,399,-51,0.534136546
unprecedented,178,229,-51,0.562653563
genuine,90,141,-51,0.61038961
empire,79,130,-51,0.622009569
control,1123,1173,-50,0.510888502
foundation,173,223,-50,0.563131313
discovery,106,156,-50,0.595419847
precious,68,118,-50,0.634408602
diet,53,103,-50,0.66025641
key,634,683,-49,0.518602885
alleged,332,381,-49,0.534361851
convince,138,187,-49,0.575384615
organic,59,108,-49,0.646706587
slave,58,107,-49,0.648484848
tribe,32,81,-49,0.716814159
t,5,54,-49,0.915254237
evidence,1054,1102,-48,0.511131725
supply,230,278,-48,0.547244094
honest,155,203,-48,0.567039106
mere,140,188,-48,0.573170732
psychological,123,171,-48,0.581632653
inflation,57,105,-48,0.648148148
situation,606,653,-47,0.518665608
healthcare,113,160,-47,0.586080586
takeover,62,109,-47,0.637426901
chemicals,50,97,-47,0.659863946
cant,5,52,-47,0.912280702
les,4,51,-47,0.927272727
movement,503,549,-46,0.521863118
levels,351,397,-46,0.530748663
prepare,210,256,-46,0.549356223
forms,197,243,-46,0.552272727
boost,101,147,-46,0.592741935
bizarre,86,132,-46,0.605504587
burn,73,119,-46,0.619791667
tanks,73,119,-46,0.619791667
pharmaceutical,59,105,-46,0.640243902
1000,6,52,-46,0.896551724
vs,2,48,-46,0.96
er,0,46,-46,1
attempt,587,632,-45,0.518457752
nations,329,374,-45,0.53200569
blame,283,328,-45,0.536824877
virtually,237,282,-45,0.543352601
polling,164,209,-45,0.560321716
protesting,102,147,-45,0.590361446
lands,70,115,-45,0.621621622
lesser,66,111,-45,0.627118644
liberty,61,106,-45,0.634730539
god,19,64,-45,0.771084337
patriots,17,62,-45,0.784810127
form,690,734,-44,0.515449438
various,628,672,-44,0.516923077
clearly,578,622,-44,0.518333333
related,482,526,-44,0.521825397
exclusive,137,181,-44,0.56918239
analysis,341,384,-43,0.529655172
tells,300,343,-43,0.533437014
racist,208,251,-43,0.546840959
blog,155,198,-43,0.560906516
overwhelming,136,179,-43,0.568253968
marks,97,140,-43,0.5907173
drones,54,97,-43,0.642384106
cops,47,90,-43,0.656934307
vaccines,14,57,-43,0.802816901
cause,659,701,-42,0.515441176
nominee,463,505,-42,0.521694215
votes,429,471,-42,0.523333333
survive,151,193,-42,0.561046512
rebels,130,172,-42,0.569536424
witnessed,126,168,-42,0.571428571
hatred,104,146,-42,0.584
convinced,214,255,-41,0.543710021
regardless,202,243,-41,0.546067416
innocent,170,211,-41,0.553805774
elect,98,139,-41,0.58649789
consent,62,103,-41,0.624242424
communist,48,89,-41,0.649635036
n,7,48,-41,0.872727273
democrats,4,45,-41,0.918367347
encourage,290,330,-40,0.532258065
creation,177,217,-40,0.550761421
survival,80,120,-40,0.6
unrest,53,93,-40,0.636986301
corporation,40,80,-40,0.666666667
needs,821,860,-39,0.511600238
whatever,448,487,-39,0.520855615
attempts,278,317,-39,0.532773109
suffering,224,263,-39,0.540041068
informed,214,253,-39,0.541755889
commit,174,213,-39,0.550387597
intervention,138,177,-39,0.561904762
cell,98,137,-39,0.582978723
ballots,93,132,-39,0.586666667
universe,76,115,-39,0.602094241
files,75,114,-39,0.603174603
secrets,74,113,-39,0.604278075
progressives,44,83,-39,0.653543307
healthy,228,266,-38,0.538461538
lying,190,228,-38,0.545454545
ethnic,144,182,-38,0.558282209
countless,126,164,-38,0.565517241
hat,78,116,-38,0.597938144
diseases,56,94,-38,0.626666667
s,26,64,-38,0.711111111
heaven,18,56,-38,0.756756757
agents,343,380,-37,0.525587828
excellent,128,165,-37,0.563139932
documented,111,148,-37,0.571428571
courage,82,119,-37,0.592039801
centuries,64,101,-37,0.612121212
st,0,37,-37,1
guess,179,215,-36,0.545685279
actively,151,187,-36,0.553254438
currency,134,170,-36,0.559210526
confrontation,132,168,-36,0.56
everywhere,100,136,-36,0.576271186
gets,607,642,-35,0.514011209
positive,393,428,-35,0.521315469
extreme,276,311,-35,0.529812606
systems,258,293,-35,0.531760436
allegedly,243,278,-35,0.533589251
incredibly,152,187,-35,0.551622419
regions,101,136,-35,0.573839662
excuse,100,135,-35,0.574468085
bases,84,119,-35,0.586206897
collusion,77,112,-35,0.592592593
cultures,49,84,-35,0.631578947
either,821,855,-34,0.510143198
civilians,238,272,-34,0.533333333
strikes,160,194,-34,0.548022599
rapidly,156,190,-34,0.549132948
tired,139,173,-34,0.554487179
assist,112,146,-34,0.565891473
electorate,67,101,-34,0.601190476
fat,67,101,-34,0.601190476
entity,64,98,-34,0.604938272
acid,21,55,-34,0.723684211
exactly,605,638,-33,0.513274336
discovered,434,467,-33,0.518312986
democratic,207,240,-33,0.536912752
silver,127,160,-33,0.557491289
exciting,107,140,-33,0.566801619
hopefully,68,101,-33,0.597633136
ridiculous,57,90,-33,0.612244898
censorship,33,66,-33,0.666666667
population,485,517,-32,0.515968064
seriously,228,260,-32,0.532786885
resistance,224,256,-32,0.533333333
inner,176,208,-32,0.541666667
justify,128,160,-32,0.555555556
credible,91,123,-32,0.574766355
contrary,86,118,-32,0.578431373
cannabis,21,53,-32,0.716216216
vaccine,19,51,-32,0.728571429
twitter,11,43,-32,0.796296296
est,2,34,-32,0.944444444
present,524,555,-31,0.514365153
equally,166,197,-31,0.542699725
strange,154,185,-31,0.545722714
criminals,145,176,-31,0.548286604
murdered,125,156,-31,0.555160142
print,110,141,-31,0.561752988
quo,59,90,-31,0.604026846
actual,394,424,-30,0.518337408
leaked,207,237,-30,0.533783784
admit,174,204,-30,0.53968254
inevitable,112,142,-30,0.559055118
immune,95,125,-30,0.568181818
exercises,50,80,-30,0.615384615
anymore,38,68,-30,0.641509434
anyway,33,63,-30,0.65625
constitution,27,57,-30,0.678571429
congress,25,55,-30,0.6875
republican,6,36,-30,0.857142857
justice,415,444,-29,0.516880093
scandal,242,271,-29,0.528265107
conspiracy,230,259,-29,0.529652352
missile,183,212,-29,0.536708861
zero,151,180,-29,0.543806647
stating,112,141,-29,0.557312253
occur,106,135,-29,0.560165975
addresses,81,110,-29,0.57591623
conscious,69,98,-29,0.586826347
sustainable,67,96,-29,0.588957055
breath,59,88,-29,0.598639456
continent,36,65,-29,0.643564356
republic,32,61,-29,0.655913978
etc,4,33,-29,0.891891892
d,1,30,-29,0.967741935
mean,715,743,-28,0.509602195
certainly,630,658,-28,0.510869565
web,185,213,-28,0.535175879
unknown,159,187,-28,0.540462428
awareness,117,145,-28,0.553435115
scheme,104,132,-28,0.559322034
mess,94,122,-28,0.564814815
tribal,76,104,-28,0.577777778
va,0,28,-28,1
knows,537,564,-27,0.51226158
rich,286,313,-27,0.522537563
threatening,239,266,-27,0.526732673
constantly,177,204,-27,0.535433071
structure,176,203,-27,0.535620053
warrant,103,130,-27,0.557939914
forever,84,111,-27,0.569230769
check,374,400,-26,0.516795866
achieve,238,264,-26,0.525896414
amazing,174,200,-26,0.534759358
conclusion,166,192,-26,0.536312849
outright,115,141,-26,0.55078125
sorry,95,121,-26,0.560185185
solutions,90,116,-26,0.563106796
persons,67,93,-26,0.58125
globe,55,81,-26,0.595588235
reserve,54,80,-26,0.597014925
jets,47,73,-26,0.608333333
r,5,31,-26,0.861111111
maintain,329,354,-25,0.518301611
wish,316,341,-25,0.519025875
except,308,333,-25,0.51950078
methods,110,135,-25,0.551020408
finger,88,113,-25,0.562189055
nature,426,450,-24,0.51369863
understanding,328,352,-24,0.517647059
poll,298,322,-24,0.519354839
readers,247,271,-24,0.523166023
profit,150,174,-24,0.537037037
devastating,142,166,-24,0.538961039
function,127,151,-24,0.543165468
horrible,124,148,-24,0.544117647
indictment,77,101,-24,0.56741573
casualties,72,96,-24,0.571428571
dear,40,64,-24,0.615384615
thats,1,25,-24,0.961538462
power,1458,1481,-23,0.503912896
type,403,426,-23,0.513872135
journalist,283,306,-23,0.519524618
listen,242,265,-23,0.522682446
camp,232,255,-23,0.523613963
pray,93,116,-23,0.555023923
dialogue,86,109,-23,0.558974359
naval,82,105,-23,0.561497326
siege,64,87,-23,0.57615894
meanwhile,5,28,-23,0.848484848
openly,274,296,-22,0.519298246
automatically,92,114,-22,0.553398058
mail,79,101,-22,0.561111111
symptoms,79,101,-22,0.561111111
loses,73,95,-22,0.56547619
da,34,56,-22,0.622222222
ok,6,28,-22,0.823529412
democrat,1,23,-22,0.958333333
attempted,276,297,-21,0.518324607
chemical,189,210,-21,0.526315789
funded,178,199,-21,0.527851459
hide,162,183,-21,0.530434783
chair,127,148,-21,0.538181818
perspective,126,147,-21,0.538461538
tank,109,130,-21,0.543933054
universal,107,128,-21,0.544680851
whoever,87,108,-21,0.553846154
milk,55,76,-21,0.580152672
pour,55,76,-21,0.580152672
liberties,48,69,-21,0.58974359
facebook,3,24,-21,0.888888889
anything,1084,1104,-20,0.504570384
chaos,174,194,-20,0.527173913
explanation,150,170,-20,0.53125
crazy,150,170,-20,0.53125
supplies,117,137,-20,0.539370079
solar,99,119,-20,0.54587156
planes,91,111,-20,0.54950495
1999,76,96,-20,0.558139535
deployment,72,92,-20,0.56097561
inequality,61,81,-20,0.570422535
create,846,865,-19,0.505552309
unique,235,254,-19,0.519427403
east,160,179,-19,0.528023599
leak,101,120,-19,0.542986425
dogs,96,115,-19,0.545023697
raped,78,97,-19,0.554285714
cells,77,96,-19,0.554913295
cup,51,70,-19,0.578512397
trump,20,39,-19,0.661016949
yeah,2,21,-19,0.913043478
total,678,696,-18,0.506550218
asks,148,166,-18,0.52866242
greatly,121,139,-18,0.534615385
welfare,113,131,-18,0.536885246
accountable,107,125,-18,0.538793103
drone,91,109,-18,0.545
shame,78,96,-18,0.551724138
rocket,70,88,-18,0.556962025
sugar,62,80,-18,0.563380282
besides,59,77,-18,0.566176471
copyright,22,40,-18,0.64516129
observer,21,39,-18,0.65
patriot,10,28,-18,0.736842105
b,3,21,-18,0.875
holocaust,3,21,-18,0.875
land,442,459,-17,0.509433962
explained,403,420,-17,0.510328068
resources,350,367,-17,0.511854951
basically,234,251,-17,0.517525773
deployed,173,190,-17,0.523415978
objects,97,114,-17,0.54028436
spectrum,83,100,-17,0.546448087
warriors,35,52,-17,0.597701149
otherwise,264,280,-16,0.514705882
reveal,259,275,-16,0.514981273
regard,177,193,-16,0.521621622
discover,118,134,-16,0.531746032
audio,116,132,-16,0.532258065
newspapers,87,103,-16,0.542105263
purposes,69,85,-16,0.551948052
cop,35,51,-16,0.593023256
subscribe,35,51,-16,0.593023256
c,1,17,-16,0.944444444
russia,0,16,-16,1
operation,327,342,-15,0.511210762
revealing,129,144,-15,0.527472527
connect,114,129,-15,0.530864198
principle,111,126,-15,0.53164557
educated,101,116,-15,0.534562212
sovereignty,76,91,-15,0.54491018
asset,74,89,-15,0.54601227
tea,66,81,-15,0.551020408
militia,64,79,-15,0.552447552
slavery,51,66,-15,0.564102564
liberation,50,65,-15,0.565217391
apple,29,44,-15,0.602739726
f,7,22,-15,0.75862069
treasury,6,21,-15,0.777777778
send,564,578,-14,0.506129597
dangerous,497,511,-14,0.506944444
bombing,222,236,-14,0.515283843
civilian,216,230,-14,0.515695067
ordinary,210,224,-14,0.516129032
proper,205,219,-14,0.516509434
aspect,126,140,-14,0.526315789
bias,109,123,-14,0.530172414
developments,101,115,-14,0.532407407
panic,93,107,-14,0.535
species,90,104,-14,0.536082474
whites,83,97,-14,0.538888889
firearms,66,80,-14,0.547945205
iron,61,75,-14,0.551470588
revolutionary,59,73,-14,0.553030303
mercury,6,20,-14,0.769230769
clinton,1,15,-14,0.9375
os,1,15,-14,0.9375
american,0,14,-14,1
youtube,0,14,-14,1
narrative,234,247,-13,0.513513514
26,215,228,-13,0.514672686
ignored,181,194,-13,0.517333333
factor,179,192,-13,0.517520216
resulting,170,183,-13,0.518413598
context,156,169,-13,0.52
disaster,148,161,-13,0.521035599
useful,144,157,-13,0.521594684
animals,128,141,-13,0.524163569
bloody,120,133,-13,0.5256917
root,106,119,-13,0.528888889
phenomenon,103,116,-13,0.529680365
soul,100,113,-13,0.530516432
volume,77,90,-13,0.538922156
u,17,30,-13,0.638297872
l,1,14,-13,0.933333333
p,0,13,-13,1
mention,376,388,-12,0.507853403
scientific,194,206,-12,0.515
investigative,185,197,-12,0.515706806
memo,125,137,-12,0.522900763
beliefs,97,109,-12,0.529126214
affair,63,75,-12,0.543478261
bubble,54,66,-12,0.55
pen,50,62,-12,0.553571429
slaves,49,61,-12,0.554545455
hey,4,16,-12,0.8
google,1,13,-12,0.928571429
america,0,12,-12,1
hillary,0,12,-12,1
solution,232,243,-11,0.511578947
ultimate,209,220,-11,0.512820513
desperate,171,182,-11,0.515580737
mistake,163,174,-11,0.516320475
wondering,123,134,-11,0.521400778
object,122,133,-11,0.521568627
expense,100,111,-11,0.526066351
operatives,87,98,-11,0.52972973
mining,69,80,-11,0.536912752
privilege,66,77,-11,0.538461538
oh,32,43,-11,0.573333333
g,3,14,-11,0.823529412
h,0,11,-11,1
oct,0,11,-11,1
supposed,534,544,-10,0.504638219
negative,293,303,-10,0.508389262
speaks,207,217,-10,0.511792453
releasing,142,152,-10,0.517006803
channel,127,137,-10,0.518939394
breaks,122,132,-10,0.519685039
occupied,119,129,-10,0.52016129
grave,96,106,-10,0.524752475
transparency,81,91,-10,0.529069767
unfortunately,51,61,-10,0.544642857
wildlife,45,55,-10,0.55
w,12,22,-10,0.647058824
v,9,19,-10,0.678571429
bible,4,14,-10,0.777777778
republicans,2,12,-10,0.857142857
millions,864,873,-9,0.502590674
greatest,371,380,-9,0.505992011
writes,242,251,-9,0.509127789
concept,170,179,-9,0.512893983
cooperation,162,171,-9,0.513513514
profits,152,161,-9,0.514376997
trillion,126,135,-9,0.517241379
bet,120,129,-9,0.518072289
plain,107,116,-9,0.520179372
neutral,82,91,-9,0.526011561
intentions,75,84,-9,0.528301887
mad,66,75,-9,0.531914894
ammunition,54,63,-9,0.538461538
salt,48,57,-9,0.542857143
du,36,45,-9,0.555555556
m,5,14,-9,0.736842105
usa,0,9,-9,1
john,0,9,-9,1
strategic,234,242,-8,0.508403361
throw,229,237,-8,0.508583691
anywhere,192,200,-8,0.510204082
devices,154,162,-8,0.512658228
bombs,142,150,-8,0.51369863
waste,126,134,-8,0.515384615
united,104,112,-8,0.518518519
ugly,101,109,-8,0.519047619
publications,53,61,-8,0.535087719
senate,20,28,-8,0.583333333
x,6,14,-8,0.7
politico,1,9,-8,0.9
dan,1,9,-8,0.9
joe,0,8,-8,1
putin,0,8,-8,1
peace,407,414,-7,0.504263094
progressive,227,234,-7,0.507592191
contained,194,201,-7,0.508860759
assistance,183,190,-7,0.509383378
rid,156,163,-7,0.510971787
depends,143,150,-7,0.511945392
refer,143,150,-7,0.511945392
2000,139,146,-7,0.512280702
resist,125,132,-7,0.513618677
credibility,123,130,-7,0.513833992
physically,115,122,-7,0.514767932
theft,82,89,-7,0.520467836
smoking,81,88,-7,0.520710059
oath,81,88,-7,0.520710059
donate,73,80,-7,0.522875817
span,71,78,-7,0.523489933
soil,66,73,-7,0.525179856
carrier,59,66,-7,0.528
yes,49,56,-7,0.533333333
hurricane,34,41,-7,0.546666667
fisher,1,8,-7,0.888888889
obama,1,8,-7,0.888888889
russian,0,7,-7,1
muslim,0,7,-7,1
christian,0,7,-7,1
americans,0,7,-7,1
blood,339,345,-6,0.504385965
engage,228,234,-6,0.506493506
stunning,153,159,-6,0.509615385
properly,132,138,-6,0.511111111
violate,120,126,-6,0.512195122
acceptable,98,104,-6,0.514851485
observers,92,98,-6,0.515789474
lifestyle,82,88,-6,0.517647059
accountability,58,64,-6,0.524590164
oval,13,19,-6,0.59375
ben,1,7,-6,0.875
muslims,1,7,-6,0.875
brotherhood,1,7,-6,0.875
thanksgiving,1,7,-6,0.875
sean,0,6,-6,1
zionist,0,6,-6,1
india,0,6,-6,1
robert,0,6,-6,1
syria,0,6,-6,1
essential,213,218,-5,0.505800464
liberals,161,166,-5,0.50764526
upcoming,149,154,-5,0.508250825
intellectual,145,150,-5,0.508474576
rapid,130,135,-5,0.509433962
error,108,113,-5,0.511312217
disagree,104,109,-5,0.511737089
mine,102,107,-5,0.511961722
grab,93,98,-5,0.513089005
cent,73,78,-5,0.516556291
honestly,55,60,-5,0.52173913
kingdom,36,41,-5,0.532467532
jack,9,14,-5,0.608695652
allen,2,7,-5,0.777777778
uber,1,6,-5,0.857142857
pacific,1,6,-5,0.857142857
nazi,1,6,-5,0.857142857
medicare,0,5,-5,1
smith,0,5,-5,1
wikileaks,0,5,-5,1
mexican,0,5,-5,1
tom,0,5,-5,1
us,2214,2218,-4,0.500451264
whole,855,859,-4,0.501166861
happen,520,524,-4,0.501915709
controversial,260,264,-4,0.503816794
west,153,157,-4,0.506451613
maintaining,138,142,-4,0.507142857
assured,135,139,-4,0.50729927
repeat,123,127,-4,0.508
responses,117,121,-4,0.508403361
